,dataset,model,mean_accuracy,std_accuracy
0,AESDD,HUBERT_BASE,"[39.61352646 45.79710126 53.04347754 64.54106212 60.77294827 65.21739244
 66.66666746 64.15458918 59.51690793 61.83574915 60.00000119 61.54589415
 60.96618295]","[1.10161868 1.4460512  1.91781928 2.17337656 0.70999686 2.11680165
 0.74840163 4.8444249  3.51563475 1.49680557 3.16637062 2.17337656
 0.98531794]"
1,AESDD,HUBERT_LARGE,"[38.84057939 48.50241601 54.10628021 59.32367086 57.39130378 60.57971001
 60.19323587 64.54106092 64.15458798 65.8937192  69.37198162 64.83091712
 65.41062832 72.46376634 71.11111045 64.54106331 67.82608747 67.34299541
 69.46859837 67.82608628 64.44444418 65.79710126 63.18840742 64.73429918
 59.61352587]","[3.29920243 1.24484059 4.85981547 2.39410827 4.4001144  0.89600213
 4.2291918  1.94680624 2.52689779 3.35531503 2.8759171  3.64598326
 4.27311036 4.15571248 5.82441122 4.7784584  5.51317706 3.28502364
 1.86851079 2.53058949 3.8356394  7.3607719  5.87229801 2.00352167
 5.5216364 ]"
2,AESDD,WAV2VEC2_BASE,"[31.40096605 50.04830956 59.13043499 61.44927502 63.67149711 68.40579629
 59.42028761 51.69082165 58.45410585 60.38647294 58.93719792 41.44927561
 43.47826123]","[4.37458277 2.70876337 2.10796234 6.71063137 1.41340525 1.63396449
 3.00916214 2.71564641 2.62830431 1.46529103 3.21900223 5.83242032
 2.86616416]"
3,AESDD,WAV2VEC2_LARGE,"[35.36231875 57.58454204 59.4202888  60.77294588 55.94202876 68.59903455
 65.99033833 64.05797005 64.92753744 64.92753744 65.21739006 63.76811624
 63.57488036 70.1449275  74.58937168 71.0144937  70.62801957 70.53140044
 63.76811624 67.53623128 65.21739006 58.5507226  59.61352706 45.99033833
 41.54589355]","[3.7345215  2.16907814 2.9464632  1.91782066 2.45189983 1.75515888
 1.16744312 3.27078478 3.2850242  5.57212433 4.06486663 5.01113234
 2.94011998 4.18258258 0.72302498 2.6635833  5.08877188 2.09463576
 5.40545001 5.46043255 5.00180743 2.85637634 2.60332212 3.32456944
 1.36638945]"
4,AESDD,WAV2VEC2_LARGE_XLSR,"[44.63768065 52.85024047 54.87922668 57.87439525 57.68115878 61.93236709
 68.50241661 71.98067665 72.27053046 68.69565248 74.97584581 71.78743958
 71.40096545 69.8550725  71.59420371 73.42995167 74.39613581 68.69565248
 74.00966287 73.33333254 67.72946835 63.9613533  20.48309147 20.86956531
 21.64251179]","[2.29862377 1.89824923 2.67407863 8.23469656 3.5578653  5.12532876
 2.92100796 3.80386819 3.62286586 5.14350914 3.68418776 6.1911187
 1.0316023  7.14975908 5.36558231 5.65856901 3.86473447 5.95125107
 4.27092525 1.59931734 3.32456999 3.42416261 0.89600171 0.70999718
 0.64089336]"
5,AESDD,WAV2VEC2_LARGE_XLSR300M,"[36.9082129  46.76328421 52.36715078 56.52173877 59.22705293 66.4734304
 70.24154663 68.11594129 68.40579867 71.30434871 69.37198043 68.79227042
 69.2753613  66.85990334 62.41545916 71.30434632 68.88888836 72.65700459
 73.71980667 70.82125664 61.73913121 66.95652366 48.30917895 32.65700459
 33.62318814]","[6.27350026 1.15942021 1.74449026 2.86616446 2.01744958 2.58533076
 3.35531524 2.86616285 3.32737615 1.12675594 0.65529754 2.53058799
 2.23687654 3.24211927 8.10327934 2.84327354 3.32737718 1.84841839
 3.71195647 2.37846033 2.88887336 2.97170206 2.57447573 4.29490167
 4.61952954]"
6,CaFE,HUBERT_BASE,"[35.55555642 42.90598392 50.76923132 51.36752307 53.16239476 59.05982971
 58.54700923 68.20512891 64.87179399 65.38461566 67.86324739 61.79487348
 53.07692349]","[3.39091167 6.23170159 4.61380202 2.20241007 3.36061701 1.51453328
 2.7162824  1.03273773 1.02564096 1.29621677 1.15937372 2.61488278
 5.85579269]"
7,CaFE,HUBERT_LARGE,"[34.95726585 41.36752188 61.53846145 61.45299196 60.8547008  63.93162489
 68.37606907 70.94017148 67.17948675 70.25641084 70.68376064 73.07692289
 75.04273534 73.58974338 76.58119559 68.03418875 62.90598392 71.11111283
 68.7179482  69.0598309  63.93162489 63.16239357 62.9914546  65.6410265
 61.36752248]","[1.6306652  3.49696946 2.91100517 3.47601535 5.54963508 5.45001774
 2.68925424 1.89196142 3.78778153 1.16565666 2.30293951 1.04678994
 2.45642764 3.47601646 2.36243968 6.76996365 7.13764774 4.13095564
 1.80096623 3.12404543 2.13846063 3.0982166  4.25294235 4.20978199
 4.34638675]"
8,CaFE,WAV2VEC2_BASE,"[37.69230843 51.45299196 55.04273653 51.88034356 63.07692409 61.96581244
 58.03418875 60.68376064 55.81196666 47.17948794 51.53846323 39.40171003
 36.9230777 ]","[3.34754784 2.30293934 2.92851904 8.70621056 1.67922174 2.37169762
 1.65291152 2.22878724 1.03274009 8.40306143 5.34854359 2.43851996
 1.54320248]"
9,CaFE,WAV2VEC2_LARGE,"[44.3589747  50.34188092 57.00854778 61.45299315 60.76923132 63.24786305
 66.75213814 68.97435904 66.83760643 65.04273534 66.15384579 67.26495862
 67.52136707 71.62393212 70.17094016 69.65811968 68.03418875 68.03418994
 70.51282048 64.27350521 65.12820601 54.87179637 47.3504287  29.23077047
 26.66666746]","[1.49022177 2.0830874  1.96022942 2.83987077 7.35936711 3.70589451
 0.78334597 1.92260234 2.82956346 4.69229917 2.51229633 2.08659038
 2.29340225 1.03273871 3.41238556 1.45550302 2.52679419 0.87162722
 1.04678994 2.62881416 2.71089742 2.3029388  3.62014073 2.45642855
 2.23859897]"
