,dataset,model,dense_mean,probing_mean_max,probing_dense_same,probing_dense_mean_max
0,AESDD,HUBERT_ASR_LARGE,66.47 (5.02),68.36 (4.11) [22],71.98 (3.38) [22],71.98 (3.38) [22]
1,AESDD,WAV2VEC2_ASR_LARGE_960H,63.09 (3.17),70.29 (0.24) [8],66.91 (0.72) [8],71.98 (4.35) [23]
2,CaFE,HUBERT_ASR_LARGE,74.53 (3.59),74.79 (4.27) [19],76.71 (5.77) [19],80.98 (0.64) [21]
3,CaFE,WAV2VEC2_ASR_LARGE_960H,71.37 (5.06),72.01 (0.64) [19],74.15 (0.21) [19],76.07 (0.43) [15]
4,EMOVO,HUBERT_ASR_LARGE,40.41 (10.06),46.68 (2.81) [19],49.74 (0.26) [19],50.77 (6.89) [17]
5,EMOVO,WAV2VEC2_ASR_LARGE_960H,42.76 (6.52),43.11 (0.77) [15],40.05 (2.81) [15],44.64 (1.79) [20]
6,EmoDB,HUBERT_ASR_LARGE,91.67 (4.82),98.81 (0.0) [21],98.21 (0.6) [21],99.4 (0.6) [19]
7,EmoDB,WAV2VEC2_ASR_LARGE_960H,92.62 (2.43),94.64 (0.6) [16],93.45 (0.6) [16],94.64 (0.6) [24]
8,IEMOCAP,HUBERT_ASR_LARGE,71.76 (0.63),67.42 (0.49) [14],67.11 (0.45) [14],72.33 (0.04) [24]
9,IEMOCAP,WAV2VEC2_ASR_LARGE_960H,67.09 (2.62),66.13 (1.07) [22],67.87 (0.76) [22],70.41 (0.27) [20]
10,RAVDESS,HUBERT_ASR_LARGE,72.33 (1.78),70.83 (0.83) [21],73.17 (0.83) [21],75.17 (1.17) [19]
11,RAVDESS,WAV2VEC2_ASR_LARGE_960H,66.0 (1.74),69.0 (0.67) [14],66.0 (2.0) [14],67.83 (0.5) [21]
12,ShEMO,HUBERT_ASR_LARGE,92.74 (0.72),93.55 (0.27) [18],92.47 (0.27) [18],93.41 (0.13) [12]
13,ShEMO,WAV2VEC2_ASR_LARGE_960H,90.0 (0.86),89.78 (0.0) [15],91.26 (0.13) [15],92.47 (0.54) [6]
