,dataset,model,layers,mean_accuracy,mean_weights
0,AESDD,HUBERT_ASR_LARGE,0,47.58454114198685,[array([1.])]
1,AESDD,HUBERT_ASR_LARGE,1,49.275362491607666,[0.38457663 0.61542335]
2,AESDD,HUBERT_ASR_LARGE,2,53.8647323846817,[0.2731517  0.30837387 0.41847447]
3,AESDD,HUBERT_ASR_LARGE,3,50.24154633283615,[0.21119227 0.21027073 0.28239845 0.29613855]
4,AESDD,HUBERT_ASR_LARGE,4,55.07246255874634,[0.17084715 0.16922159 0.2005344  0.23023435 0.22916256]
5,AESDD,HUBERT_ASR_LARGE,5,59.903380274772644,[0.14713196 0.14365548 0.14859362 0.18744556 0.18643291 0.18674047]
6,AESDD,HUBERT_ASR_LARGE,6,59.66183543205261,"[0.12626292 0.1241061  0.12287506 0.15449928 0.15812261 0.15844572
 0.15568831]"
7,AESDD,HUBERT_ASR_LARGE,7,61.59420311450958,"[0.11016265 0.10917963 0.10767412 0.13061456 0.13516    0.13757375
 0.13545488 0.13418046]"
8,AESDD,HUBERT_ASR_LARGE,8,62.80193030834198,"[0.09750399 0.09695918 0.09463844 0.11472908 0.11863548 0.12149828
 0.1201667  0.11929729 0.1165715 ]"
9,AESDD,HUBERT_ASR_LARGE,9,66.42512083053589,"[0.08873791 0.08825787 0.08678551 0.10223819 0.10646129 0.10989371
 0.1072818  0.10628234 0.10484992 0.09921145]"
10,AESDD,HUBERT_ASR_LARGE,10,66.90821349620819,"[0.0799098  0.07997824 0.07928171 0.09140991 0.09607747 0.09916313
 0.09810967 0.09762356 0.09661055 0.09258324 0.08925273]"
11,AESDD,HUBERT_ASR_LARGE,11,64.97584581375122,"[0.07313442 0.07265897 0.07151748 0.08362233 0.08825928 0.09078996
 0.08974207 0.08979455 0.08928971 0.08696359 0.08584818 0.07837946]"
12,AESDD,HUBERT_ASR_LARGE,12,62.077295780181885,"[0.06803325 0.06744391 0.06706299 0.07639512 0.08055352 0.08376224
 0.08314227 0.08316248 0.08238107 0.0803107  0.08016387 0.07511159
 0.07247698]"
13,AESDD,HUBERT_ASR_LARGE,13,69.08212304115295,"[0.06358915 0.06268205 0.06219902 0.0718012  0.07553904 0.07781539
 0.07680634 0.07747548 0.07640196 0.07444784 0.07464916 0.07088003
 0.06893975 0.06677357]"
14,AESDD,HUBERT_ASR_LARGE,14,69.08212304115295,"[0.05899289 0.05845248 0.05872988 0.06716442 0.07053137 0.07284766
 0.07259165 0.07304619 0.0721387  0.07010539 0.06981641 0.06705465
 0.06619979 0.06278176 0.05954678]"
15,AESDD,HUBERT_ASR_LARGE,15,62.56038546562195,"[0.05536618 0.05463353 0.05447666 0.06249497 0.065521   0.0686168
 0.06847351 0.0685067  0.06819154 0.06733836 0.06684202 0.06381556
 0.06328355 0.06012184 0.0567226  0.0555952 ]"
16,AESDD,HUBERT_ASR_LARGE,16,66.18357598781586,"[0.05234978 0.05183378 0.05250832 0.05964631 0.06245848 0.06394337
 0.06412205 0.06432973 0.06370772 0.06163737 0.06258559 0.06108309
 0.06115018 0.0577885  0.05390645 0.05343139 0.0535179 ]"
17,AESDD,HUBERT_ASR_LARGE,17,66.66666865348816,"[0.04903159 0.04852078 0.04923882 0.05667322 0.05957572 0.06162817
 0.06137711 0.06164941 0.06119118 0.06004292 0.05997977 0.05825542
 0.05842364 0.05532959 0.05029525 0.04948873 0.04970391 0.04959474]"
18,AESDD,HUBERT_ASR_LARGE,18,69.08212602138519,"[0.04728386 0.04618055 0.04709707 0.05349276 0.0560234  0.05840868
 0.05873062 0.05837505 0.05768263 0.05669473 0.05702559 0.0546866
 0.05561453 0.05405838 0.04838561 0.04745374 0.0475478  0.04756877
 0.04768957]"
