,model,dataset,layers,center_of_gravity,expected_layer,differential_score,mixing_weight
0,HUBERT_ASR_LARGE,AESDD,25,11.927920076996088,-3.1530616927592554,"[16.66666567 -2.41545737  5.07246107  2.41546035  1.93236768 -4.83091772
  9.42028761  3.38164568  0.96618235 -3.86473238  0.72463751 -4.34782803
  4.8309207   5.07246256 -5.07246554  3.14009786  0.72463751 -6.28019273
  5.79710007 -4.34782505  6.7632854  -2.41545737 -1.69082284 -7.97101557]","[0.03423348 0.03485969 0.03808472 0.04077141 0.04253415 0.04290767
 0.04366088 0.04269713 0.04148626 0.04153361 0.04350389 0.04334244
 0.04279511 0.04118147 0.04028799 0.03912893 0.03846551 0.03883187
 0.03908707 0.0391655  0.03895956 0.03848396 0.03840214 0.0381054
 0.0374902 ]"
1,HUBERT_BASE,AESDD,13,6.398172672837973,5.015151730417888,"[-2.89855152  2.65700519  5.07246405  1.20772868  2.17391402  3.62318754
  4.34782505  1.93237066 -3.38164568  1.69081986  1.69082284 -2.17391253]","[0.09059774 0.05552328 0.05808975 0.06399456 0.06746293 0.06929681
 0.07850327 0.07499715 0.08270714 0.08698249 0.09730814 0.08987122
 0.08466553]"
2,HUBERT_LARGE,AESDD,25,12.29299852065742,5.0476188401178455,"[14.73429948  2.41545737  0.48309267  2.65700817 -1.93237066  2.65700519
  0.72464049  2.17390954 -1.44927502  0.96618533  7.00483024 -4.34782505
 -1.69082284  6.03864789 -0.48308969 -4.10628021  5.07246256  0.72463751
 -3.62318754  0.72463453  0.48309565  1.20772719 -0.48309267  0.48309267]","[0.03610446 0.03599347 0.03705345 0.03868293 0.03913698 0.0387933
 0.03919824 0.03877503 0.03894446 0.03956095 0.0430042  0.04339933
 0.04380461 0.041414   0.03935751 0.03745406 0.03857016 0.03744125
 0.03784793 0.03843596 0.03980719 0.04151857 0.04207311 0.04807519
 0.04555361]"
3,WAV2VEC2_ASR_LARGE_960H,AESDD,25,11.240973382256925,1.0499976274741678,"[13.76811713  7.48792291  0.96618235  2.65700519  3.3816427   4.10628021
  1.20772719 -2.17390954  0.72463453  1.20773017 -1.44927502 -0.96618235
  1.69081986 -2.17391253  0.          1.44927502 -1.20773017 -0.96618235
 -3.14009488  1.93236768  4.83091772 -7.97101557  4.34782505 -0.72464049]","[0.02594662 0.03118717 0.03238728 0.03606256 0.04752463 0.04986712
 0.05568016 0.05568971 0.0539703  0.05395392 0.05398751 0.05029326
 0.04381379 0.04013024 0.04214449 0.04784395 0.04518405 0.03130299
 0.03173368 0.02955638 0.02821728 0.02806166 0.02811543 0.02846059
 0.02888519]"
4,WAV2VEC2_BASE,AESDD,13,5.9987091440707445,2.8181827266263877,"[ 6.7632854  -0.48309267 14.97584432  1.44927502  3.14009786  9.42029059
 -1.20773017 -2.65700221 -1.449278   -1.20773017 -2.65700221  3.14009786]","[0.07352651 0.05483735 0.05885079 0.0682392  0.08873332 0.10032343
 0.1034619  0.09635426 0.09424709 0.08415211 0.05875668 0.05146988
 0.06704748]"
5,WAV2VEC2_LARGE,AESDD,25,12.41369325760752,2.733813675395679,"[16.42512232  1.93236768  2.41545439  3.62319052  4.58936989  3.62319052
 -1.44927502  2.65700519  1.20773017 -4.34782505  2.17391253  0.48308969
 -1.20773017  2.17391551 -0.48309267  0.          1.20773017 -2.89855301
  3.14009786  0.          1.69082284 -1.44927502 -4.10628319  2.17391551]","[0.02743885 0.02887064 0.02831742 0.02981592 0.03241134 0.04032474
 0.04231023 0.04527662 0.04573217 0.04258224 0.04353263 0.04021265
 0.04061389 0.04449839 0.04733166 0.04784106 0.0497699  0.05013331
 0.05104186 0.05037658 0.04416079 0.0380664  0.03013761 0.02719999
 0.03200312]"
6,WAV2VEC2_LARGE_XLSR,AESDD,25,11.839399555698037,35.788989657140334,"[  3.14009637   0.72463602   2.65700519   1.69082284  -2.89855003
   7.00483024   4.83091772   0.48308969   3.14009786  -6.03864789
  10.86956561 -14.49275315   8.6956501    1.93236768   1.20773017
   2.89855003  -2.17390954  -7.97101557   7.97101259  -6.52173758
   7.00483024 -38.40579689  -2.17391253  -9.90338251]","[0.04057677 0.04057521 0.04057807 0.04058338 0.04058126 0.04058482
 0.04059129 0.04059314 0.04059055 0.04058957 0.04058727 0.04058374
 0.04058263 0.04058403 0.04058185 0.04058408 0.04058999 0.04058765
 0.04058444 0.04057896 0.04058778 0.0405957  0.03571004 0.03570918
 0.0357086 ]"
7,WAV2VEC2_LARGE_XLSR300M,AESDD,25,12.804600525647402,2.820893535199164,"[-1.69081986  3.86473387  0.          5.07246256  1.69082284  2.41545737
  5.31401336 -5.07246554  3.62318754 -6.0386464   5.79710156  1.69081986
 -0.72463751  0.72464049  2.65700221 -1.20773017  2.65700519  4.34782803
 -0.24154484 -1.93237066  1.44927502 -3.3816427  -1.93236768 -2.89855003]","[0.02867626 0.02734188 0.02880463 0.02950215 0.03289579 0.03336223
 0.03451392 0.03790577 0.04151119 0.04637771 0.04502727 0.04296089
 0.04261743 0.04179752 0.04291232 0.04264648 0.04511143 0.04641324
 0.0556455  0.05636129 0.0467372  0.04741426 0.03555142 0.03301296
 0.03489928]"
8,HUBERT_ASR_LARGE,CaFE,25,12.313789592124522,-8.743591114496654,"[ 10.25640965   7.05128163  10.89743674   1.70940161   0.64102411
   0.21367669   5.98290563  -4.05982733   5.98290563  -1.28205419
  -1.28204823   1.70940161   0.42734742   3.8461566   -2.56410539
   0.21367669   0.4273504    3.63247693  -3.41880023   1.92307532
  -0.8547008    0.21367669   1.06837451 -17.73504317]","[0.0299296  0.03082546 0.03298363 0.03616537 0.03729926 0.038121
 0.03896494 0.03998674 0.03891445 0.03912462 0.04472052 0.04601478
 0.04804583 0.0472638  0.04651077 0.04397631 0.04360759 0.0434089
 0.04431104 0.04411047 0.04258395 0.03780287 0.03672999 0.03490221
 0.03369592]"
9,HUBERT_BASE,CaFE,13,6.388970673084259,7.014705677242828,"[-0.2136752   2.35042721 -4.91452962  7.26495683  0.4273504   0.6410256
  0.8547008   5.34188002  3.2051295  -0.2136752  -4.27350551  4.05982882]","[0.08576063 0.05375648 0.06050506 0.0687016  0.06989307 0.06960929
 0.07404276 0.07867815 0.08657242 0.09004257 0.09174202 0.08325751
 0.08743847]"
10,HUBERT_LARGE,CaFE,25,12.601688584312797,2.161073817964513,"[-2.13675201 11.32478714 12.60683537  0.4273504   1.4957279   0.64102411
  7.05128312 -3.20512652  5.55555522 -1.70940161  0.21367371  3.63247991
  1.06837451 -0.4273504  -1.06837451  2.13674903 -2.77777612  3.41880322
 -1.4957279  -3.63247693  5.55555522 -2.56410241  2.13675201 -6.41025603]","[0.03384516 0.03271194 0.03458208 0.03521904 0.03545112 0.03623842
 0.03649725 0.03733933 0.03723373 0.03881022 0.04418389 0.04740593
 0.04721172 0.0449334  0.04248413 0.03895435 0.03644324 0.03684128
 0.03782648 0.03875475 0.03975521 0.04287286 0.04265681 0.05187217
 0.04987548]"
