,dataset,model,layers,mean_accuracy,mean_weights
0,AESDD,HUBERT_ASR_LARGE,0,32.608695328235626,[array([1.])]
1,AESDD,HUBERT_ASR_LARGE,1,49.27536100149155,[0.37466721 0.62533277]
2,AESDD,HUBERT_ASR_LARGE,2,46.85990363359451,[0.26932029 0.28153935 0.44914035]
3,AESDD,HUBERT_ASR_LARGE,3,51.93236470222473,[0.19446742 0.19369469 0.29906388 0.31277405]
4,AESDD,HUBERT_ASR_LARGE,4,54.347825050354004,[0.15720358 0.1552828  0.20790114 0.23905497 0.24055751]
5,AESDD,HUBERT_ASR_LARGE,5,56.280192732810974,[0.13399788 0.1303049  0.15178972 0.19443344 0.19768201 0.19179206]
6,AESDD,HUBERT_ASR_LARGE,6,51.44927501678467,"[0.11498864 0.11244953 0.11650453 0.15938938 0.16971187 0.16374099
 0.16321505]"
7,AESDD,HUBERT_ASR_LARGE,7,60.86956262588501,"[0.09911072 0.099023   0.09974834 0.13510253 0.14291171 0.14361559
 0.14354204 0.1369461 ]"
8,AESDD,HUBERT_ASR_LARGE,8,64.25120830535889,"[0.08951699 0.08948551 0.09067155 0.11717711 0.12651347 0.1271842
 0.1274157  0.12082143 0.11121404]"
9,AESDD,HUBERT_ASR_LARGE,9,65.21739065647125,"[0.07958741 0.07910638 0.08013863 0.10385645 0.11327352 0.11517631
 0.11483907 0.11292297 0.10685775 0.0942415 ]"
10,AESDD,HUBERT_ASR_LARGE,10,61.35265827178955,"[0.07165695 0.07189216 0.07100742 0.09264922 0.10078582 0.1042833
 0.10335445 0.10376244 0.10276067 0.09098446 0.08686311]"
11,AESDD,HUBERT_ASR_LARGE,11,62.077295780181885,"[0.06730564 0.06628424 0.06738191 0.08349594 0.09148327 0.0957956
 0.09455571 0.09487441 0.09110914 0.08415821 0.08544831 0.07810757]"
12,AESDD,HUBERT_ASR_LARGE,12,57.72946774959564,"[0.06138852 0.06114735 0.06287193 0.07513789 0.08511722 0.0874561
 0.08665383 0.08535761 0.08497643 0.08046309 0.0831843  0.07437844
 0.07186735]"
13,AESDD,HUBERT_ASR_LARGE,13,62.56038844585419,"[0.05829158 0.05706477 0.0577818  0.07192494 0.0783501  0.08133647
 0.07914983 0.07900888 0.07750222 0.07580731 0.07878821 0.07273648
 0.06873476 0.06352266]"
14,AESDD,HUBERT_ASR_LARGE,14,67.63285100460052,"[0.05462971 0.05343731 0.0555982  0.06908812 0.07538896 0.0756277
 0.07319887 0.07291153 0.07221899 0.06992844 0.07270311 0.0688312
 0.06571578 0.06219474 0.05852736]"
15,AESDD,HUBERT_ASR_LARGE,15,62.56038546562195,"[0.04968008 0.04907985 0.05149075 0.06416659 0.07021387 0.07198387
 0.07041408 0.07050855 0.07032744 0.06719997 0.07103901 0.06510933
 0.06332576 0.05869854 0.05410863 0.05265365]"
16,AESDD,HUBERT_ASR_LARGE,16,65.70048332214355,"[0.04819379 0.04750613 0.05025237 0.06107632 0.06757774 0.06797283
 0.06603797 0.06594593 0.06494305 0.06318484 0.06566718 0.0621461
 0.0617932  0.05696634 0.05125322 0.04966374 0.04981923]"
17,AESDD,HUBERT_ASR_LARGE,17,66.42512083053589,"[0.04393374 0.04326764 0.04530444 0.05611152 0.0623789  0.06445865
 0.06402067 0.06288506 0.06435635 0.06158818 0.0644891  0.06035548
 0.06042224 0.05534326 0.04928154 0.04765116 0.04696911 0.04718297]"
18,AESDD,HUBERT_ASR_LARGE,18,60.144928097724915,"[0.04235244 0.04236987 0.04498734 0.05502233 0.05987963 0.05984578
 0.06050972 0.05983428 0.05937034 0.05870141 0.06178335 0.05829126
 0.05709073 0.05182812 0.04664216 0.04488996 0.04506085 0.04584357
 0.04569687]"
19,AESDD,HUBERT_ASR_LARGE,19,65.94202816486359,"[0.04013878 0.03990312 0.04376131 0.05273394 0.05636055 0.05762372
 0.05690516 0.05504214 0.05506827 0.05462853 0.05794682 0.05703899
 0.05602514 0.05139186 0.04611456 0.04410857 0.04317528 0.04389558
 0.04350204 0.04463567]"
20,AESDD,HUBERT_ASR_LARGE,20,61.59420311450958,"[0.03815905 0.03764521 0.04087215 0.05074608 0.05416456 0.05441672
 0.05402373 0.05282035 0.0519965  0.05184814 0.05529466 0.0542891
 0.0562049  0.0512176  0.04432457 0.04181976 0.04139463 0.04188669
 0.04141296 0.04247169 0.04299094]"
21,AESDD,HUBERT_ASR_LARGE,21,68.35748851299286,"[0.03683457 0.03680152 0.04003324 0.04816909 0.0506581  0.05221432
 0.05241331 0.05076629 0.04926928 0.04889797 0.05386184 0.05109646
 0.05107383 0.0484998  0.04403684 0.0416237  0.03933135 0.0399753
 0.03983997 0.04114225 0.04154689 0.04191407]"
22,AESDD,HUBERT_ASR_LARGE,22,65.94203114509583,"[0.03615583 0.03593664 0.03971001 0.045848   0.04824671 0.04912978
 0.04953954 0.04803589 0.04656979 0.04591322 0.0501379  0.04837242
 0.04846804 0.04618686 0.04331344 0.04032178 0.03905765 0.03959311
 0.03944867 0.03975031 0.03966106 0.04005631 0.04054701]"
