,dataset,model,max_accuracy,mean_accuracy,std_accuracy
0,AESDD,HUBERT_ASR_LARGE,75.36231875419617,"[32.60869533 49.275361   46.85990363 51.9323647  54.34782505 56.28019273
 51.44927502 60.86956263 64.25120831 65.21739066 61.35265827 62.07729578
 57.72946775 62.56038845 67.632851   62.56038547 65.70048332 66.42512083
 60.1449281  65.94202816 61.59420311 68.35748851 65.94203115 64.25120831
 56.28019273]","[5.07246405 1.93236619 2.89855152 0.72463751 2.17391253 3.62319052
 5.07246256 6.7632854  0.         0.96618235 2.41546035 3.62318754
 1.20773017 1.20773017 0.48309267 3.62318754 3.86473536 8.93719792
 7.97101557 6.52174056 3.14009488 4.10628021 0.72463751 1.44927502
 2.65700519]"
1,AESDD,HUBERT_BASE,58.93719792366028,"[39.61352706 36.71497554 39.37198073 44.44444478 45.65217346 47.82608747
 51.44927502 55.79710007 57.72947073 54.34782505 56.03864491 57.72946775
 55.55555522]","[0.48309267 2.41545886 2.6570037  0.48309267 1.20772868 0.
 0.24154782 2.17391253 0.72463751 2.17391253 1.93236768 1.20773017
 0.48309267]"
2,AESDD,HUBERT_LARGE,73.9130437374115,"[35.99033803 50.72463751 53.14009488 53.62318754 56.28019571 54.34782505
 57.00483024 57.72947073 59.90338027 58.45410526 59.42029059 66.42512083
 62.07729578 60.38647294 66.42512083 65.94203115 61.83575094 66.9082135
 67.632851   64.00966346 64.73429799 65.21739364 66.42512083 65.94202816
 66.42512083]","[5.07246405 1.44927502 0.96618235 4.34782505 0.72463751 0.24154782
 0.96618235 0.72463751 1.93236768 0.48309267 1.93236768 5.07246256
 3.14009786 4.34782505 6.03864789 0.72463751 4.83091772 0.24154484
 2.41545737 7.97101557 5.79710007 1.44927502 7.48792291 5.55555522
 4.58937287]"
3,AESDD,WAV2VEC2_ASR_LARGE_960H,76.81159377098083,"[36.71497554 50.48309267 57.97101557 58.93719792 61.59420311 64.97584581
 69.08212602 70.28985322 68.11594367 68.8405782  70.04830837 68.59903336
 67.632851   69.32367086 67.14975834 67.14975834 68.59903336 67.39130318
 66.42512083 63.28502595 65.21739364 70.04831135 62.07729578 66.42512083
 65.70048034]","[0.48309118 0.24154484 1.93236768 0.         0.24154484 0.72463751
 0.96618235 0.24154484 5.31401038 4.10628021 6.7632854  6.7632854
 4.83091772 5.07246256 5.31401038 4.8309207  4.34782505 5.07246554
 6.03864789 3.3816427  6.7632854  1.93236768 2.17391253 0.24154782
 3.3816427 ]"
4,AESDD,WAV2VEC2_BASE,67.63284802436829,"[31.15942031 37.92270571 37.43961304 52.41545737 53.86473238 57.00483024
 66.42512083 65.21739066 62.56038845 61.11111045 59.90338027 57.24637806
 60.38647592]","[0.724639   3.14009637 4.58937138 0.24154484 0.24154484 0.48309267
 0.72463751 2.41545737 1.20773017 0.24154782 0.48309267 1.20773017
 3.3816427 ]"
5,AESDD,WAV2VEC2_LARGE,73.42995405197144,"[35.99033803 52.41546035 54.34782803 56.76328242 60.38647294 64.97584283
 68.59903336 67.14975834 69.80676353 71.0144937  66.66666865 68.84058118
 69.32367086 68.11594069 70.2898562  69.80676353 69.80676353 71.0144937
 68.11594069 71.25603855 71.25603855 72.94686139 71.49758637 67.39130318
 69.56521869]","[1.20772868 2.17391253 4.10628021 4.10628021 2.89855003 2.65700519
 0.         1.44927502 2.17391551 0.         1.44927502 0.72463751
 2.17391253 1.93236768 0.72463751 2.65700519 0.24154484 0.96618533
 1.93236768 1.20773017 1.69081986 0.48309267 1.93236768 1.20773017
 1.44927502]"
6,AESDD,WAV2VEC2_LARGE_XLSR,77.77777910232544,"[47.82608747 50.96618384 51.69081986 54.34782505 56.03864789 53.14009786
 60.1449281  64.97584581 65.4589355  68.59903336 62.56038547 73.42995107
 58.93719792 67.63284802 69.56521571 70.77294588 73.67149591 71.49758637
 63.5265708  71.49758339 64.97584581 71.98067605 33.57487917 31.40096664
 21.49758413]","[1.44927502 1.20772868 2.41545737 0.24154782 0.48308969 6.7632854
 2.65700519 0.72463751 0.72463751 2.41546035 1.69082284 0.96618235
 8.6956501  2.89855003 1.93236768 5.07246256 0.72463751 1.93236768
 6.52173758 5.79710007 2.17391253 5.79710305 1.69081986 1.44927502
 2.17391327]"
7,AESDD,WAV2VEC2_LARGE_XLSR300M,75.36231875419617,"[48.55072349 46.85990363 50.72463751 50.72463751 55.79710007 57.48792291
 59.90338027 65.21739364 60.1449281  63.76811564 57.72946924 63.5265708
 65.21739066 64.49275315 65.21739364 67.87439585 66.66666567 69.32367086
 73.67149889 73.42995405 71.49758339 72.94685841 69.56521571 67.63284802
 64.73429799]","[2.6570037  0.48309118 0.         1.44927502 1.69082284 4.34782505
 2.41545737 1.44927502 3.62319052 0.96618235 7.97101408 0.72463751
 0.96618235 3.62319052 1.44927502 0.24154782 0.96618235 3.14009786
 0.24154484 1.44927502 2.89855003 2.41546035 0.96618235 6.7632854
 3.86473536]"
8,CaFE,HUBERT_ASR_LARGE,79.05982732772827,"[30.98290712 41.23931676 48.29059839 59.18803513 60.89743674 61.53846085
 61.75213754 67.73504317 63.67521584 69.65812147 68.37606728 67.09401906
 68.80342066 69.23076808 73.07692468 70.51281929 70.72649598 71.15384638
 74.78632331 71.36752307 73.29059839 72.43589759 72.64957428 73.71794879
 55.98290563]","[0.2136752  0.6410256  1.70940161 3.63247693 0.21367371 0.4273504
 2.3504287  1.06837451 1.28205121 1.28205121 2.99145281 0.4273504
 0.4273504  0.4273504  2.99145281 0.         0.21367669 0.21367371
 4.27350402 0.4273504  0.64102411 0.64102411 2.56410241 1.4957279
 3.41880322]"
9,CaFE,HUBERT_BASE,55.12820482254028,"[36.96581274 36.75213754 39.10256475 34.18803513 41.45299196 41.88034236
 42.52136797 43.37606877 48.71794879 51.9230783  51.7094031  47.43589759
 51.49572641]","[0.6410256  0.8547008  1.92307681 2.56410241 1.70940161 1.70940161
 1.49572641 3.63247842 2.99145281 0.21367669 2.1367535  5.98290563
 3.63247842]"
10,CaFE,HUBERT_LARGE,77.35042572021484,"[35.04273593 32.90598392 44.23077106 56.83760643 57.26495683 58.76068473
 59.40170884 66.45299196 63.24786544 68.80342066 67.09401906 67.30769277
 70.94017267 72.00854719 71.58119678 70.51282227 72.6495713  69.87179518
 73.29059839 71.7948705  68.16239357 73.71794879 71.15384638 73.29059839
 66.88034236]","[0.         1.28205121 6.19658232 2.56410241 1.28205121 3.20512652
 1.70940161 1.06837749 2.56410241 1.28205121 2.13675201 1.06837749
 0.         1.06837451 0.64102411 2.99145281 1.28205121 1.49572492
 1.06837749 1.28205121 2.35042572 3.63247693 4.05983031 2.35042572
 3.63247693]"
11,CaFE,WAV2VEC2_ASR_LARGE_960H,72.64957427978516,"[42.30769277 50.4273504  47.43589759 44.65811998 52.35042721 58.54701102
 62.82051206 48.71795028 60.68376005 67.52136946 60.47008634 65.81196487
 59.40170884 66.45299196 69.23076808 69.01709437 67.52136946 68.58974397
 72.00854719 61.53846085 65.17094076 71.15384638 60.04273593 63.03418875
 64.10256326]","[2.13675201 2.99145281 3.41880322 2.77777761 2.77777761 8.11965764
 3.41880322 3.41880471 6.41025603 0.         6.62392974 0.4273504
 4.27350402 1.9230783  0.4273504  0.64102411 3.41880322 0.64102709
 0.64102709 0.4273504  5.34187853 0.64102709 4.05983031 2.7777791
 0.4273504 ]"
12,CaFE,WAV2VEC2_BASE,58.974361419677734,"[39.95726556 44.23076957 42.94871837 38.67521435 41.88034236 54.27350551
 47.00854719 52.56410241 49.5726496  47.64957279 51.9230783  53.2051295
 49.5726496 ]","[4.48717922 2.35042721 4.48717922 2.77777761 0.         4.70085591
 2.56410241 2.56410241 0.4273504  0.6410256  1.49572492 2.3504287
 0.4273504 ]"
13,CaFE,WAV2VEC2_LARGE,75.64102411270142,"[40.59829116 46.15384638 52.56410539 52.3504287  58.97436142 58.54701102
 63.46153915 68.37607026 70.29914558 71.15384638 69.65812147 69.01709437
 67.94871986 67.94871688 70.51282227 66.66666865 66.45299196 72.43589759
 69.87179518 71.15384638 68.58974397 69.44444478 69.65812147 70.94017267
 70.94017267]","[2.13675201 3.84615362 0.4273504  0.21367371 0.8547008  1.28205121
 4.91453111 0.         1.06837451 4.48717773 2.99145281 0.64102411
 1.28205121 2.56410241 3.84615362 0.8547008  0.64102411 3.20512652
 0.64102411 1.06837451 0.64102709 1.4957279  2.13675201 2.56410241
 2.56410241]"
14,CaFE,WAV2VEC2_LARGE_XLSR,76.92307829856873,"[36.32478714 51.28205121 53.63247991 52.9914543  57.26495683 54.48717922
 57.69230723 62.60683835 65.59829116 68.58974397 70.72649598 66.66666567
 67.52136648 66.45299196 70.51282227 68.16239357 69.87179518 68.80341768
 68.37607026 71.36752009 73.07692468 71.7948705  18.80341917 16.88034236
 15.38461596]","[1.70940161 3.84615362 0.64102411 4.27350551 7.26495683 6.62393123
 5.12820482 6.62393272 5.76922894 0.64102709 0.21367669 2.99145281
 5.55555522 3.20512652 2.13675201 1.9230783  1.9230783  3.41880322
 5.12820482 1.70940161 3.84615362 1.28205121 0.4273504  1.49572641
 0.        ]"
15,CaFE,WAV2VEC2_LARGE_XLSR300M,74.35897588729858,"[34.61538553 47.86324948 56.41025901 56.19658232 63.24786246 61.32478714
 63.88888955 63.24786246 64.95726705 61.11111343 68.58974397 67.09401608
 68.80342066 67.30769277 63.88888955 68.16239357 68.37606728 68.58974397
 68.37606728 67.09401608 71.58119678 71.7948705  70.29914558 67.09401906
 63.88888955]","[3.41880322 8.54700953 4.27350402 1.06837749 2.99145281 3.63247991
 1.06837749 2.13675201 5.98290563 4.70085442 0.21367371 2.56410241
 1.28205121 2.35042572 2.35042572 1.49572492 3.84615362 1.92307532
 0.4273504  0.8547008  2.7777791  2.13675201 3.2051295  2.13675201
 1.49572492]"
16,EMOVO,HUBERT_ASR_LARGE,49.48979616165161,"[21.68367356 21.68367356 27.29591876 29.0816322  29.59183604 31.8877548
 32.39795864 34.43877548 38.01020384 33.16326439 37.5        40.05102068
 42.34693944 36.2244904  38.7755096  42.85714328 42.60204136 42.34693944
 46.68367356 45.40816396 44.89796013 42.60204136 41.58163369 41.58163369
 36.73469424]","[2.8061226  3.31632644 2.29591876 1.53061301 4.59183604 1.2755096
 1.2755096  1.27551109 1.78571343 0.51020384 0.76530576 1.78571492
 1.53061152 1.53061152 0.51020384 4.59183753 1.2755096  0.51020384
 2.8061226  4.0816322  2.55102068 1.78571343 5.86734712 0.25510192
 1.02040768]"
17,EMOVO,HUBERT_BASE,33.16326439380646,"[25.76530576 21.17346898 21.68367356 24.74489883 20.40816322 21.93877548
 21.93877548 22.1938774  25.51020384 23.97959158 30.86734712 25.51020384
 26.02040842]","[5.86734712 1.27551034 0.76530576 3.82653102 0.51020458 2.04081684
 2.04081684 0.25510192 0.         1.53061226 2.29591727 1.02040768
 4.08163294]"
18,EMOVO,HUBERT_LARGE,42.34693944454193,"[21.17346972 16.0714291  23.7244904  27.29591727 28.57142836 30.35714179
 32.14285821 32.90816396 31.12244904 35.20408273 35.45918316 32.39795864
 36.2244904  33.67346823 35.96938699 35.45918316 34.18367356 37.5
 35.71428657 33.67346823 38.52040768 39.03061301 35.20408273 31.63265288
 33.92857015]","[0.76530576 1.78571418 0.25510192 0.76530576 0.51020533 3.31632644
 3.57142836 4.33673412 0.         0.51020384 2.8061226  1.78571343
 1.02040768 6.12244904 2.8061226  1.78571492 1.02040917 0.25510192
 1.02040768 0.51020384 0.76530576 3.31632644 0.51020384 6.12244904
 0.25510192]"
19,EMOVO,WAV2VEC2_ASR_LARGE_960H,44.387754797935486,"[25.76530576 25.76530576 27.80612111 27.29591727 30.35714328 31.63265288
 32.39796013 31.12244904 33.92857164 36.47959232 34.18367356 38.7755096
 36.47959232 40.3061226  43.1122452  41.32653028 42.85714328 38.01020384
 39.28571492 37.24489808 41.83673412 38.52040917 38.01020384 37.75510192
 36.98979616]","[1.78571343 0.25510192 0.25510192 0.76530576 0.25510192 0.51020384
 2.8061226  1.53061152 0.76530725 1.2755096  1.53061301 0.51020384
 1.2755096  2.04081684 0.76530576 3.06122452 1.53061152 4.33673561
 2.55102068 1.53061152 1.53061301 3.82653028 1.2755096  4.08163369
 1.78571343]"
20,EMOVO,WAV2VEC2_BASE,34.183672070503235,"[22.44897932 24.74489734 25.51020384 25.51020384 26.53061152 27.55102068
 29.0816322  30.35714179 29.33673561 26.27551034 30.86734563 30.10204136
 30.35714328]","[0.         3.31632569 1.53061152 1.02040768 0.         1.02040917
 2.04081684 3.82653028 0.25510192 3.82653102 3.31632644 0.
 0.25510192]"
21,EMOVO,WAV2VEC2_LARGE,42.34693944454193,"[26.53061226 26.02040768 27.04081535 25.51020384 24.74489734 27.55102068
 30.35714328 31.12244904 27.8061226  31.12244904 33.92857164 32.39795864
 34.94898081 31.63265288 34.43877548 34.18367356 34.43877548 37.24489808
 36.47959232 36.22448891 34.94897932 37.5        32.65306205 33.92857164
 37.5       ]","[4.08163294 1.02040768 1.02040768 2.04081535 3.31632569 1.53061301
 0.25510192 0.         3.82653028 2.04081535 2.29591876 1.2755096
 0.25510192 4.08163369 2.29591876 1.02040917 1.27551109 5.10204136
 1.2755096  3.06122452 0.76530725 1.2755096  3.06122452 4.33673412
 0.25510192]"
22,EMOVO,WAV2VEC2_LARGE_XLSR,48.97959232330322,"[26.53061152 28.57142836 29.84693944 28.82653028 29.33673412 31.12244904
 30.61224371 36.98979616 39.28571492 32.39796013 35.71428657 36.47959232
 37.5        35.71428508 34.43877548 34.69387889 32.39795864 36.98979616
 34.94897932 45.15306205 35.96938848 37.5        22.95918316 15.3061226
 16.5816322 ]","[1.02040768 0.51020533 0.25510192 3.82653028 3.31632644 0.51020384
 3.57142836 0.76530576 2.55102068 2.8061226  6.12244904 0.76530576
 1.2755096  1.53061301 2.8061226  6.12244904 0.25510192 2.29591727
 1.78571492 3.82653028 0.76530576 3.82653177 4.59183604 1.02040768
 2.8061226 ]"
23,EMOVO,WAV2VEC2_LARGE_XLSR300M,38.77550959587097,"[24.99999925 22.70408124 22.1938774  26.53061152 24.74489734 25.
 23.97959158 28.57142836 28.06122452 30.35714328 31.12244904 29.59183753
 33.41836631 29.84693944 29.0816322  32.90816396 28.82653028 31.12244755
 33.92857015 34.6938774  31.8877548  32.14285821 33.67346972 26.78571343
 30.61224371]","[2.0408161  0.25510192 2.8061226  1.53061152 3.31632569 0.
 3.57142761 1.53061301 3.06122452 1.78571343 0.51020384 0.
 0.76530576 0.25510192 5.10203987 2.29591876 4.33673412 3.06122452
 0.25510192 2.55102068 6.8877548  2.55102068 2.04081684 0.76530576
 3.06122452]"
