,dataset,model,dense_mean,probing_mean_max,probing_dense_same,probing_dense_mean_max
0,AESDD,HUBERT_ASR_LARGE,66.47 (5.02),68.89 (5.91) [20],65.22 (6.99) [20],74.49 (5.17) [13]
1,AESDD,HUBERT_BASE,59.03 (1.31),66.67 (0.75) [7],65.02 (1.24) [7],69.08 (3.28) [8]
2,AESDD,HUBERT_LARGE,63.09 (7.84),72.46 (4.16) [14],73.04 (3.73) [14],73.62 (5.17) [15]
3,AESDD,WAV2VEC2_ASR_LARGE_960H,63.09 (3.17),74.59 (2.13) [9],72.27 (4.51) [9],75.56 (2.74) [11]
4,AESDD,WAV2VEC2_BASE,59.9 (2.39),68.41 (1.63) [6],64.73 (2.65) [6],64.73 (2.65) [6]
5,AESDD,WAV2VEC2_LARGE,63.96 (6.41),74.59 (0.72) [15],68.31 (4.22) [15],71.3 (5.86) [16]
6,AESDD,WAV2VEC2_LARGE_XLSR,52.95 (11.32),74.98 (3.68) [11],68.7 (8.15) [11],77.97 (2.42) [17]
7,AESDD,WAV2VEC2_LARGE_XLSR300M,64.15 (5.27),73.72 (3.71) [19],67.44 (9.28) [19],77.78 (4.24) [17]
8,CaFE,HUBERT_ASR_LARGE,74.53 (3.59),79.32 (2.74) [14],78.89 (1.13) [14],80.26 (1.36) [16]
9,CaFE,HUBERT_BASE,69.66 (2.08),68.21 (1.03) [8],71.2 (1.92) [8],71.2 (1.92) [8]
10,CaFE,HUBERT_LARGE,74.44 (4.61),76.58 (2.36) [15],78.12 (2.05) [15],79.23 (3.04) [14]
11,CaFE,WAV2VEC2_ASR_LARGE_960H,71.37 (5.06),69.66 (0.81) [8],71.2 (1.68) [8],71.2 (1.68) [8]
12,CaFE,WAV2VEC2_BASE,64.19 (7.54),63.08 (1.68) [5],62.14 (1.42) [5],67.78 (1.72) [3]
13,CaFE,WAV2VEC2_LARGE,73.59 (3.71),71.62 (1.03) [14],72.91 (2.16) [14],74.7 (1.67) [8]
14,CaFE,WAV2VEC2_LARGE_XLSR,55.81 (15.1),75.81 (5.78) [11],78.72 (1.74) [11],80.68 (1.9) [8]
15,CaFE,WAV2VEC2_LARGE_XLSR300M,77.61 (3.88),75.04 (1.03) [19],75.81 (3.61) [19],81.11 (1.28) [14]
16,EMOVO,HUBERT_ASR_LARGE,40.41 (10.06),53.37 (7.43) [13],65.31 (1.41) [13],65.31 (1.41) [13]
17,EMOVO,HUBERT_BASE,32.55 (2.61),36.94 (2.61) [9],39.9 (4.45) [9],44.8 (4.27) [7]
18,EMOVO,HUBERT_LARGE,43.57 (5.19),45.0 (2.98) [13],55.71 (5.73) [13],55.71 (5.73) [13]
19,EMOVO,WAV2VEC2_ASR_LARGE_960H,42.76 (6.52),47.86 (2.03) [15],44.9 (1.44) [15],51.63 (2.4) [10]
20,EMOVO,WAV2VEC2_BASE,30.0 (3.17),39.9 (1.59) [6],37.86 (3.92) [6],37.86 (3.92) [6]
21,EMOVO,WAV2VEC2_LARGE,38.27 (4.97),43.06 (1.0) [17],48.06 (1.69) [17],48.16 (1.63) [18]
22,EMOVO,WAV2VEC2_LARGE_XLSR,32.24 (7.01),48.57 (3.7) [18],52.04 (6.03) [18],56.33 (3.48) [16]
23,EMOVO,WAV2VEC2_LARGE_XLSR300M,31.43 (7.04),42.65 (4.76) [19],53.88 (2.23) [19],53.88 (2.23) [19]
24,EmoDB,HUBERT_ASR_LARGE,91.67 (4.82),97.62 (0.75) [11],97.38 (2.31) [11],99.05 (0.48) [12]
25,EmoDB,HUBERT_BASE,87.62 (3.81),93.57 (1.21) [8],92.38 (0.58) [8],94.52 (1.78) [5]
26,EmoDB,HUBERT_LARGE,94.52 (3.07),97.38 (0.48) [13],97.62 (1.51) [13],97.86 (1.9) [11]
27,EmoDB,WAV2VEC2_ASR_LARGE_960H,92.62 (2.43),94.05 (2.5) [10],94.29 (1.75) [10],94.29 (1.75) [10]
28,EmoDB,WAV2VEC2_BASE,86.43 (3.42),89.52 (0.89) [6],85.48 (1.75) [6],89.29 (2.26) [4]
29,EmoDB,WAV2VEC2_LARGE,91.67 (2.71),95.71 (2.08) [9],95.24 (1.84) [9],95.71 (1.61) [10]
30,EmoDB,WAV2VEC2_LARGE_XLSR,86.19 (13.61),99.29 (0.58) [18],99.76 (0.48) [18],99.76 (0.48) [18]
31,EmoDB,WAV2VEC2_LARGE_XLSR300M,91.43 (4.84),96.19 (0.89) [17],96.9 (1.61) [17],97.62 (1.3) [8]
